"STATISTIC Label","Year","Principal Economic Status","Sex","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Male","Immigrants: All origins","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Female","Net migration","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Female","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","All unemployed persons","Female","Immigrants: All origins","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Both sexes","Net migration","Thousand","-0.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","12.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Both sexes","Immigrants: All origins","Thousand","11.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Male","Net migration","Thousand","0.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Male","Emigrants: All destinations","Thousand","5.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Male","Immigrants: All origins","Thousand","5.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Female","Net migration","Thousand","-1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Female","Emigrants: All destinations","Thousand","6.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Student or pupil","Female","Immigrants: All origins","Thousand","5.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Both sexes","Net migration","Thousand","9.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Both sexes","Emigrants: All destinations","Thousand","4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Both sexes","Immigrants: All origins","Thousand","13.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Male","Net migration","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Male","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Male","Immigrants: All origins","Thousand","2.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Female","Net migration","Thousand","8.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Female","Emigrants: All destinations","Thousand","2.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2019","Other economic status","Female","Immigrants: All origins","Thousand","10.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Both sexes","Net migration","Thousand","27.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Both sexes","Emigrants: All destinations","Thousand","49.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Both sexes","Immigrants: All origins","Thousand","77.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Male","Net migration","Thousand","13"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Male","Emigrants: All destinations","Thousand","24.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Male","Immigrants: All origins","Thousand","37.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Female","Net migration","Thousand","14.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Female","Emigrants: All destinations","Thousand","24.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All persons","Female","Immigrants: All origins","Thousand","39.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Both sexes","Net migration","Thousand","18.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Both sexes","Emigrants: All destinations","Thousand","28.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Both sexes","Immigrants: All origins","Thousand","46.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Male","Net migration","Thousand","9.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Male","Emigrants: All destinations","Thousand","15.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Male","Immigrants: All origins","Thousand","24.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Female","Net migration","Thousand","9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Female","Emigrants: All destinations","Thousand","12.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Persons at work","Female","Immigrants: All origins","Thousand","21.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Both sexes","Net migration","Thousand","8.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","11.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Male","Net migration","Thousand","2.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Male","Emigrants: All destinations","Thousand","1.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Male","Immigrants: All origins","Thousand","4.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Female","Net migration","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Female","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","All unemployed persons","Female","Immigrants: All origins","Thousand","6.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Both sexes","Net migration","Thousand","-3.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","13.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Both sexes","Immigrants: All origins","Thousand","10.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Male","Net migration","Thousand","-0.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Male","Emigrants: All destinations","Thousand","5.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Male","Immigrants: All origins","Thousand","5.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Female","Net migration","Thousand","-2.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Female","Emigrants: All destinations","Thousand","7.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Student or pupil","Female","Immigrants: All origins","Thousand","5.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Both sexes","Net migration","Thousand","4.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Both sexes","Emigrants: All destinations","Thousand","4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Both sexes","Immigrants: All origins","Thousand","8.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Male","Net migration","Thousand","1.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Male","Emigrants: All destinations","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Male","Immigrants: All origins","Thousand","3.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Female","Net migration","Thousand","2.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Female","Emigrants: All destinations","Thousand","2.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2020","Other economic status","Female","Immigrants: All origins","Thousand","5.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Both sexes","Net migration","Thousand","9.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Both sexes","Emigrants: All destinations","Thousand","51"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Both sexes","Immigrants: All origins","Thousand","60.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Male","Net migration","Thousand","0.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Male","Emigrants: All destinations","Thousand","25.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Male","Immigrants: All origins","Thousand","28.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Female","Net migration","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Female","Emigrants: All destinations","Thousand","25.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All persons","Female","Immigrants: All origins","Thousand","31.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Both sexes","Net migration","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Both sexes","Emigrants: All destinations","Thousand","29.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Both sexes","Immigrants: All origins","Thousand","34.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Male","Net migration","Thousand","1.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Male","Emigrants: All destinations","Thousand","16.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Male","Immigrants: All origins","Thousand","16.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Female","Net migration","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Female","Emigrants: All destinations","Thousand","13.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Persons at work","Female","Immigrants: All origins","Thousand","17.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Both sexes","Net migration","Thousand","3.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","5.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Male","Net migration","Thousand","-1.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Male","Emigrants: All destinations","Thousand","2.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Male","Immigrants: All origins","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Female","Net migration","Thousand","2.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Female","Emigrants: All destinations","Thousand","3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","All unemployed persons","Female","Immigrants: All origins","Thousand","5.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Both sexes","Net migration","Thousand","-3.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","11"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Both sexes","Immigrants: All origins","Thousand","7.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Male","Net migration","Thousand","3.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Male","Emigrants: All destinations","Thousand","4.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Male","Immigrants: All origins","Thousand","2.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Female","Net migration","Thousand","-2.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Female","Emigrants: All destinations","Thousand","6.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Student or pupil","Female","Immigrants: All origins","Thousand","4.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Both sexes","Net migration","Thousand","4.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Both sexes","Emigrants: All destinations","Thousand","4.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Both sexes","Immigrants: All origins","Thousand","9.9"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Male","Net migration","Thousand","3.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Male","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Male","Immigrants: All origins","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Female","Net migration","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Female","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2021","Other economic status","Female","Immigrants: All origins","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Both sexes","Net migration","Thousand","48.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Both sexes","Emigrants: All destinations","Thousand","53.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Both sexes","Immigrants: All origins","Thousand","102"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Male","Net migration","Thousand","15.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Male","Emigrants: All destinations","Thousand","30.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Male","Immigrants: All origins","Thousand","46.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Female","Net migration","Thousand","32.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Female","Emigrants: All destinations","Thousand","22.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All persons","Female","Immigrants: All origins","Thousand","55.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Both sexes","Net migration","Thousand","32.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Both sexes","Emigrants: All destinations","Thousand","32"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Both sexes","Immigrants: All origins","Thousand","64.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Male","Net migration","Thousand","15.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Male","Emigrants: All destinations","Thousand","20"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Male","Immigrants: All origins","Thousand","35.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Female","Net migration","Thousand","17"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Female","Emigrants: All destinations","Thousand","12"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Persons at work","Female","Immigrants: All origins","Thousand","29"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Both sexes","Net migration","Thousand","7.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Both sexes","Emigrants: All destinations","Thousand","4.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Both sexes","Immigrants: All origins","Thousand","11.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Male","Net migration","Thousand","0.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Male","Emigrants: All destinations","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Male","Immigrants: All origins","Thousand","3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Female","Net migration","Thousand","7.1"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Female","Emigrants: All destinations","Thousand","1.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","All unemployed persons","Female","Immigrants: All origins","Thousand","8.7"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Both sexes","Net migration","Thousand","-3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Both sexes","Emigrants: All destinations","Thousand","13"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Both sexes","Immigrants: All origins","Thousand","10"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Male","Net migration","Thousand","-1.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Male","Emigrants: All destinations","Thousand","6.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Male","Immigrants: All origins","Thousand","5.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Female","Net migration","Thousand","-1.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Female","Emigrants: All destinations","Thousand","6.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Student or pupil","Female","Immigrants: All origins","Thousand","4.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Both sexes","Net migration","Thousand","11.5"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Both sexes","Emigrants: All destinations","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Both sexes","Immigrants: All origins","Thousand","15.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Male","Net migration","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Male","Emigrants: All destinations","Thousand","1.8"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Male","Immigrants: All origins","Thousand","3"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Female","Net migration","Thousand","10.2"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Female","Emigrants: All destinations","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over (Persons in April)","2022","Other economic status","Female","Immigrants: All origins","Thousand","12.8"
