"STATISTIC Label","Year","Sex","Education Level","Inward or Outward Flow","UNIT","VALUE"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Higher secondary and below","Emigrants: All destinations","Thousand","8.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Higher secondary and below","Immigrants: All origins","Thousand","7.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Post leaving cert","Net migration","Thousand","1.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Post leaving cert","Emigrants: All destinations","Thousand","1.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Post leaving cert","Immigrants: All origins","Thousand","2.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Third level","Net migration","Thousand","14.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Third level","Emigrants: All destinations","Thousand","13.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Third level","Immigrants: All origins","Thousand","27.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Not stated","Net migration","Thousand","-0.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Not stated","Emigrants: All destinations","Thousand","2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","Not stated","Immigrants: All origins","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","All persons","Net migration","Thousand","14.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","All persons","Emigrants: All destinations","Thousand","25.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Male","All persons","Immigrants: All origins","Thousand","39.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Higher secondary and below","Net migration","Thousand","3.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Higher secondary and below","Emigrants: All destinations","Thousand","6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Higher secondary and below","Immigrants: All origins","Thousand","9.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Post leaving cert","Net migration","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Post leaving cert","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Post leaving cert","Immigrants: All origins","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Third level","Net migration","Thousand","10.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Third level","Emigrants: All destinations","Thousand","15"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Third level","Immigrants: All origins","Thousand","25.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Not stated","Net migration","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Not stated","Emigrants: All destinations","Thousand","1.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","Not stated","Immigrants: All origins","Thousand","3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","All persons","Net migration","Thousand","15.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","All persons","Emigrants: All destinations","Thousand","23.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2019","Female","All persons","Immigrants: All origins","Thousand","39.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Higher secondary and below","Net migration","Thousand","-2.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","16.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","14.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Post leaving cert","Net migration","Thousand","0"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","3.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","3.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Third level","Net migration","Thousand","30.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Third level","Emigrants: All destinations","Thousand","26.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Third level","Immigrants: All origins","Thousand","56.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Not stated","Net migration","Thousand","-0.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Not stated","Emigrants: All destinations","Thousand","2.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","Not stated","Immigrants: All origins","Thousand","2.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","All persons","Net migration","Thousand","27.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","All persons","Emigrants: All destinations","Thousand","49.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Both sexes","All persons","Immigrants: All origins","Thousand","77.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Higher secondary and below","Net migration","Thousand","-3.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Higher secondary and below","Emigrants: All destinations","Thousand","10.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Higher secondary and below","Immigrants: All origins","Thousand","7.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Post leaving cert","Net migration","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Post leaving cert","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Post leaving cert","Immigrants: All origins","Thousand","3.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Third level","Net migration","Thousand","15.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Third level","Emigrants: All destinations","Thousand","10.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Third level","Immigrants: All origins","Thousand","26.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Not stated","Net migration","Thousand","-0.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Not stated","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","Not stated","Immigrants: All origins","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","All persons","Net migration","Thousand","13"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","All persons","Emigrants: All destinations","Thousand","24.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Male","All persons","Immigrants: All origins","Thousand","37.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Higher secondary and below","Net migration","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Higher secondary and below","Emigrants: All destinations","Thousand","6.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Higher secondary and below","Immigrants: All origins","Thousand","7.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Post leaving cert","Net migration","Thousand","-1.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Post leaving cert","Emigrants: All destinations","Thousand","2.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Post leaving cert","Immigrants: All origins","Thousand","0.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Third level","Net migration","Thousand","15.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Third level","Emigrants: All destinations","Thousand","15.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Third level","Immigrants: All origins","Thousand","30.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Not stated","Net migration","Thousand","0.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Not stated","Emigrants: All destinations","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","Not stated","Immigrants: All origins","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","All persons","Net migration","Thousand","14.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","All persons","Emigrants: All destinations","Thousand","24.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2020","Female","All persons","Immigrants: All origins","Thousand","39.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Higher secondary and below","Net migration","Thousand","-1.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","11.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","9.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Post leaving cert","Net migration","Thousand","2.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","2.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","5.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Third level","Net migration","Thousand","10"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Third level","Emigrants: All destinations","Thousand","32.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Third level","Immigrants: All origins","Thousand","42.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Not stated","Net migration","Thousand","-2.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Not stated","Emigrants: All destinations","Thousand","4.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","Not stated","Immigrants: All origins","Thousand","2.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","All persons","Net migration","Thousand","9.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","All persons","Emigrants: All destinations","Thousand","51"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Both sexes","All persons","Immigrants: All origins","Thousand","60.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Higher secondary and below","Net migration","Thousand","0.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Higher secondary and below","Emigrants: All destinations","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Higher secondary and below","Immigrants: All origins","Thousand","5.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Post leaving cert","Net migration","Thousand","2.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Post leaving cert","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Post leaving cert","Immigrants: All origins","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Third level","Net migration","Thousand","3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Third level","Emigrants: All destinations","Thousand","15.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Third level","Immigrants: All origins","Thousand","18.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Not stated","Net migration","Thousand","-1.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Not stated","Emigrants: All destinations","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","Not stated","Immigrants: All origins","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","All persons","Net migration","Thousand","3.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","All persons","Emigrants: All destinations","Thousand","25.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Male","All persons","Immigrants: All origins","Thousand","28.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Higher secondary and below","Net migration","Thousand","-1.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Higher secondary and below","Emigrants: All destinations","Thousand","6.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Higher secondary and below","Immigrants: All origins","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Post leaving cert","Net migration","Thousand","0.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Post leaving cert","Emigrants: All destinations","Thousand","1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Post leaving cert","Immigrants: All origins","Thousand","1.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Third level","Net migration","Thousand","7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Third level","Emigrants: All destinations","Thousand","17.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Third level","Immigrants: All origins","Thousand","24.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Not stated","Net migration","Thousand","-0.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Not stated","Emigrants: All destinations","Thousand","1.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","Not stated","Immigrants: All origins","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","All persons","Net migration","Thousand","5.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","All persons","Emigrants: All destinations","Thousand","25.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2021","Female","All persons","Immigrants: All origins","Thousand","31.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Higher secondary and below","Net migration","Thousand","5.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Higher secondary and below","Emigrants: All destinations","Thousand","15.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Higher secondary and below","Immigrants: All origins","Thousand","21"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Post leaving cert","Net migration","Thousand","-0.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Post leaving cert","Emigrants: All destinations","Thousand","3.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Post leaving cert","Immigrants: All origins","Thousand","3.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Third level","Net migration","Thousand","39.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Third level","Emigrants: All destinations","Thousand","30.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Third level","Immigrants: All origins","Thousand","70.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Not stated","Net migration","Thousand","3.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Not stated","Emigrants: All destinations","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","Not stated","Immigrants: All origins","Thousand","7.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","All persons","Net migration","Thousand","48.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","All persons","Emigrants: All destinations","Thousand","53.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Both sexes","All persons","Immigrants: All origins","Thousand","102"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Higher secondary and below","Net migration","Thousand","0.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Higher secondary and below","Emigrants: All destinations","Thousand","10.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Higher secondary and below","Immigrants: All origins","Thousand","11"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Post leaving cert","Net migration","Thousand","0"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Post leaving cert","Emigrants: All destinations","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Post leaving cert","Immigrants: All origins","Thousand","1.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Third level","Net migration","Thousand","13.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Third level","Emigrants: All destinations","Thousand","16.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Third level","Immigrants: All origins","Thousand","30"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Not stated","Net migration","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Not stated","Emigrants: All destinations","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","Not stated","Immigrants: All origins","Thousand","3.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","All persons","Net migration","Thousand","15.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","All persons","Emigrants: All destinations","Thousand","30.8"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Male","All persons","Immigrants: All origins","Thousand","46.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Higher secondary and below","Net migration","Thousand","4.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Higher secondary and below","Emigrants: All destinations","Thousand","5.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Higher secondary and below","Immigrants: All origins","Thousand","10"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Post leaving cert","Net migration","Thousand","-0.1"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Post leaving cert","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Post leaving cert","Immigrants: All origins","Thousand","1.2"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Third level","Net migration","Thousand","25.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Third level","Emigrants: All destinations","Thousand","14.4"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Third level","Immigrants: All origins","Thousand","40.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Not stated","Net migration","Thousand","2.5"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Not stated","Emigrants: All destinations","Thousand","1.3"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","Not stated","Immigrants: All origins","Thousand","3.9"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","All persons","Net migration","Thousand","32.7"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","All persons","Emigrants: All destinations","Thousand","22.6"
"Estimated Migration Aged 15 Years and Over  (Persons in April)","2022","Female","All persons","Immigrants: All origins","Thousand","55.4"
